[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 6.56
[File, File, Image]  - File Name: APE.ape
[File, File, Image]  - Directory: t/images
[File, File, Image]  - File Size: 2 kB
[File, File, Time]  - File Modification Date/Time: 2006:11:14 07:32:27
[File, File, Image]  - File Type: APE
[File, File, Image]  - MIME Type: audio/x-monkeys-audio
[APE, MAC, Audio] 0 - Compression Level: 3000
[APE, MAC, Audio] 2 - Blocks Per Frame: 73728
[APE, MAC, Audio] 4 - Final Frame Blocks: 42662
[APE, MAC, Audio] 6 - Total Frames: 2
[APE, MAC, Audio] 8 - Bits Per Sample: 16
[APE, MAC, Audio] 9 - Channels: 2
[APE, MAC, Audio] 10 - Sample Rate: 44100
[APE, APE, Audio] Track - Track: 4
[APE, APE, Audio] Year - Year: 2005
[APE, APE, Audio] Genre - Genre: Electronic
[APE, APE, Audio] Artist - Artist: Kraftwerk
[APE, APE, Audio] Album - Album: Cover Art Test
[APE, APE, Audio] Tool Version - Tool Version: 11.1.102
[APE, APE, Audio] Tool Name - Tool Name: Media Center
[APE, APE, Audio] Title - Title: Men Machine Live
[APE, APE, Audio] Media Jukebox: Date - Media Jukebox Date: 38353
[APE, APE, Audio] Cover Art (front) Desc - Cover Art Front Desc: X:\_kuvat\Kraftwerk - Cover Art Test.jpg
[APE, APE, Audio] Cover Art (front) - Cover Art Front: (Binary data 1761 bytes)
