[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 6.43
[File, File, Image]  - File Name: BMP.bmp
[File, File, Image]  - Directory: t/images
[File, File, Image]  - File Size: 1142 bytes
[File, File, Time]  - File Modification Date/Time: 2005:07:18 10:37:02
[File, File, Image]  - File Type: BMP
[File, File, Image]  - MIME Type: image/bmp
[BMP, BMP, Image] 4 - Image Width: 8
[BMP, BMP, Image] 8 - Image Height: 8
[BMP, BMP, Image] 12 - Planes: 1
[BMP, BMP, Image] 14 - Bit Depth: 8
[BMP, BMP, Image] 16 - Compression: None
[BMP, BMP, Image] 20 - Image Length: 64
[BMP, BMP, Image] 24 - Pixels Per Meter X: 2835
[BMP, BMP, Image] 28 - Pixels Per Meter Y: 2835
[BMP, BMP, Image] 32 - Num Colors: 256
[BMP, BMP, Image] 36 - Num Important Colors: 256
[Composite, Composite, Image]  - Image Size: 8x8
