[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 6.58
[File, File, Image]  - File Name: FLAC.flac
[File, File, Image]  - Directory: t/images
[File, File, Image]  - File Size: 282 bytes
[File, File, Time]  - File Modification Date/Time: 2006:11:13 14:55:01
[File, File, Image]  - File Type: FLAC
[File, File, Image]  - MIME Type: audio/flac
[FLAC, FLAC, Audio] Bit000-015 - Block Size Min: 4608
[FLAC, FLAC, Audio] Bit016-031 - Block Size Max: 4608
[FLAC, FLAC, Audio] Bit032-055 - Frame Size Min: 16777215
[FLAC, FLAC, Audio] Bit056-079 - Frame Size Max: 0
[FLAC, FLAC, Audio] Bit080-099 - Sample Rate: 8000
[FLAC, FLAC, Audio] Bit100-102 - Channels: 2
[FLAC, FLAC, Audio] Bit103-107 - Bits Per Sample: 8
[FLAC, FLAC, Audio] Bit108-143 - Total Samples: 0
[Vorbis, Vorbis, Audio] vendor - Vendor: reference libFLAC 1.1.2 20050205
[Vorbis, Vorbis, Audio] REPLAYGAIN_TRACK_PEAK - Replay Gain Track Peak: 0.00000000
[Vorbis, Vorbis, Audio] REPLAYGAIN_TRACK_GAIN - Replay Gain Track Gain: -24601.00 dB
[Vorbis, Vorbis, Audio] REPLAYGAIN_ALBUM_PEAK - Replay Gain Album Peak: 0.00000000
[Vorbis, Vorbis, Audio] REPLAYGAIN_ALBUM_GAIN - Replay Gain Album Gain: -24601.00 dB
[Vorbis, Vorbis, Audio] TITLE - Title: ExifTool test
[Vorbis, Vorbis, Author] COPYRIGHT - Copyright: Phil Harvey
