[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 7.18
[File, File, Image]  - File Name: HTML.html
[File, File, Image]  - Directory: t/images
[File, File, Image]  - File Size: 2 kB
[File, File, Time]  - File Modification Date/Time: 2007:02:18 10:47:47
[File, File, Image]  - File Type: HTML
[File, File, Image]  - MIME Type: text/html
[HTML, HTML, Document] title - Title: ExifTool HTML Test
[HTML, HTTP-equiv, Document] content-type - Content Type: text/html; charset="iso-8859-1"
[HTML, HTML-dc, Document] title - Title: ExifTool HTML Test
[HTML, HTML-dc, Author] creator - Creator: Phil Harvey, Another Creator
[HTML, HTML-dc, Time] date - Date: 2007-30-01
[HTML, HTML-dc, Document] format - Format: Daisy 2.02
[HTML, HTML-dc, Document] identifier - Identifier: DTB00345
[HTML, HTML-dc, Document] language - Language: EN
[HTML, HTML-dc, Author] publisher - Publisher: TPB
[HTML, HTML-dc, Author] source - Source: 0-065-01022-1
[HTML, HTML-dc, Document] subject - Subject: Greek: α β γ
[HTML, HTML-ncc, Time] sourcedate - Source Date: 1993
[HTML, HTML-ncc, Document] sourceedition - Source Edition: 1
[HTML, HTML-ncc, Document] sourcepublisher - Source Publisher: Phil's Desktop
[HTML, HTML-ncc, Document] charset - Charset: iso-8859-1
[HTML, HTML-ncc, Document] generator - Generator: ExifTool 6.73
[HTML, HTML-ncc, Document] narrator - Narrator: a narrator
[HTML, HTML-ncc, Document] tocitems - TOC Items: 1024
[HTML, HTML-ncc, Document] totaltime - Duration: 91:27:21
[HTML, HTML-ncc, Document] pagenormal - Page Normal: 881
[HTML, HTML-ncc, Document] maxpagenormal - Max Page Normal: 881
[HTML, HTML-ncc, Document] pagefront - Page Front: 27
[HTML, HTML-ncc, Document] pagespecial - Page Special: 45
[HTML, HTML-ncc, Document] prodnotes - Prod Notes: 0
[HTML, HTML-ncc, Document] footnotes - Footnotes: 0
[HTML, HTML-ncc, Document] sidebars - Sidebars: 0
[HTML, HTML-ncc, Document] setinfo - Set Info: 1 of 3
[HTML, HTML-ncc, Document] depth - Depth: 4
[HTML, HTML-ncc, Document] kbytesize - K Byte Size: 1530000
[HTML, HTML-ncc, Document] multimediatype - Multimedia Type: audioNCC
[HTML, HTML-ncc, Document] files - Files: 97
[HTML, HTML-prod, Document] reclocation - Rec Location: Studio 2
[HTML, HTML-prod, Document] recengineer - Rec Engineer: P Harvey
