[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 7.25
[File, File, Image]  - File Name: Jpeg2000_3_failed.jp2
[File, File, Image]  - Directory: t
[File, File, Image]  - File Size: 4 kB
[File, File, Time]  - File Modification Date/Time: 2008:04:15 13:50:53
[File, File, Image]  - File Type: JP2
[File, File, Image]  - MIME Type: image/jp2
[File, File, Image]  - Exif Byte Order: Little-endian (Intel, II)
[File, File, Image]  - Exif Byte Order: Big-endian (Motorola, MM)
[Jpeg2000, Jpeg2000, Image] 0 - Image Height: 16
[Jpeg2000, Jpeg2000, Image] 4 - Image Width: 16
[Jpeg2000, Jpeg2000, Image] 8 - Number Of Components: 3
[Jpeg2000, Jpeg2000, Image] 10 - Bits Per Component: 8 Bits, Unsigned
[Jpeg2000, Jpeg2000, Image] 11 - Compression: JPEG 2000
[Jpeg2000, Jpeg2000, Image] colr - Colorspace: sRGB
[EXIF, IFD0, Image] 256 - Image Width: 1
[EXIF, IFD0, Image] 257 - Image Height: 1
[EXIF, IFD0, Image] 258 - Bits Per Sample: 8
[EXIF, IFD0, Image] 259 - Compression: Uncompressed
[EXIF, IFD0, Image] 273 - Strip Offsets: 101
[EXIF, IFD0, Image] 277 - Samples Per Pixel: 1
[EXIF, IFD0, Image] 279 - Strip Byte Counts: 0
[EXIF, IFD0, Image] 284 - Planar Configuration: Chunky
[EXIF, IFD0, Image] 33550 - Pixel Scale: 1 1 0
[EXIF, IFD0, Location] 33922 - Model Tie Point: 0 0 0 334159.28 4429865.18 0
[EXIF, IFD0, Image] 270 - Image Description: a description
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[GeoTiff, GeoTiff, Location] 1 - Geo Tiff Version: 1.1.0
[GeoTiff, GeoTiff, Location] 1024 - GT Model Type: Projected
[GeoTiff, GeoTiff, Location] 1025 - GT Raster Type: Pixel Is Area
[GeoTiff, GeoTiff, Location] 1026 - GT Citation: NAD83 / UTM zone 18N
[GeoTiff, GeoTiff, Location] 3072 - Projected CS Type: NAD83 UTM zone 18N
[GeoTiff, GeoTiff, Location] 3076 - Proj Linear Units: Linear Meter
[IPTC, IPTC, Other] 25 - Keywords: test keyword
[IPTC, IPTC, Other] 0 - Application Record Version: 4
[XMP, XMP-photoshop, Location] City - City: a city
[Composite, Composite, Image]  - Image Size: 16x16
