[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 7.25
[File, File, Image]  - File Name: QuickTime.m4a
[File, File, Image]  - Directory: t/images
[File, File, Image]  - File Size: 5 kB
[File, File, Time]  - File Modification Date/Time: 2006:09:23 16:45:18
[File, File, Image]  - File Type: M4A
[File, File, Image]  - MIME Type: audio/mp4
[QuickTime, QuickTime, Video] 0 - Version: 0
[QuickTime, QuickTime, Time] 1 - Create Date: 2005:06:29 19:02:19
[QuickTime, QuickTime, Time] 2 - Modify Date: 2006:09:22 11:06:45
[QuickTime, QuickTime, Video] 3 - Time Scale: 600
[QuickTime, QuickTime, Video] 4 - Duration: 29.05 s
[QuickTime, QuickTime, Video] 5 - Preferred Rate: 1
[QuickTime, QuickTime, Video] 6 - Preferred Volume: 100.00%
[QuickTime, QuickTime, Video] 18 - Preview Time: 0 s
[QuickTime, QuickTime, Video] 19 - Preview Duration: 0 s
[QuickTime, QuickTime, Video] 20 - Poster Time: 0 s
[QuickTime, QuickTime, Video] 21 - Selection Time: 0 s
[QuickTime, QuickTime, Video] 22 - Selection Duration: 0 s
[QuickTime, QuickTime, Video] 23 - Current Time: 0 s
[QuickTime, QuickTime, Video] 24 - Next Track ID: 2
[QuickTime, Track1, Video] 0 - Track Version: 0
[QuickTime, Track1, Time] 1 - Track Create Date: 2005:06:29 19:02:19
[QuickTime, Track1, Time] 2 - Track Modify Date: 2006:09:22 11:06:45
[QuickTime, Track1, Video] 3 - Track ID: 1
[QuickTime, Track1, Video] 5 - Track Duration: 29.05 s
[QuickTime, Track1, Video] 8 - Track Layer: 0
[QuickTime, Track1, Video] 9 - Track Volume: 100.00%
[QuickTime, QuickTime, Video] 0 - Media Header Version: 0
[QuickTime, QuickTime, Time] 1 - Media Create Date: 2005:06:29 19:02:19
[QuickTime, QuickTime, Time] 2 - Media Modify Date: 2006:09:22 11:06:45
[QuickTime, QuickTime, Video] 3 - Media Time Scale: 32000
[QuickTime, QuickTime, Video] 4 - Media Duration: 29.06 s
[QuickTime, QuickTime, Video] 5 - Media Language Code: und
[QuickTime, QuickTime, Video] 8 - Handler Type: Audio Track
[QuickTime, QuickTime, Audio] 2 - Balance: 0
[QuickTime, QuickTime, Audio] 2 - Audio Format: mp4a
[QuickTime, QuickTime, Audio] 12 - Audio Channels: 2
[QuickTime, QuickTime, Audio] 13 - Audio Bits Per Sample: 16
[QuickTime, QuickTime, Audio] 16 - Audio Sample Rate: 44100
[QuickTime, QuickTime, Video] 8 - Handler Type: Metadata
[QuickTime, QuickTime, Video] 12 - Handler Vendor ID: Apple
[QuickTime, QuickTime, Audio] ©nam - Title: Sample
[QuickTime, QuickTime, Audio] cpil - Compilation: No
[QuickTime, QuickTime, Audio] tmpo - Beats Per Minute: 120
[QuickTime, QuickTime, Audio] ©too - Encoder: iTunes v4.9, QuickTime 7.0.1
[QuickTime, QuickTime, Audio] ©lyr - Lyrics: these are lyrics
[QuickTime, QuickTime, Audio] ©ART - Artist: Phil Harvey
[QuickTime, QuickTime, Audio] aART - Album Artist: album artist
[QuickTime, QuickTime, Audio] ©wrt - Composer: Composer
[QuickTime, QuickTime, Audio] ©alb - Album: album
[QuickTime, QuickTime, Audio] ©grp - Grouping: grouping
[QuickTime, QuickTime, Audio] ©gen - Genre: Childrenâ€™s Music
[QuickTime, QuickTime, Audio] trkn - Track Number: 1 of 2
[QuickTime, QuickTime, Audio] disk - Disk Number: 1 of 3
[QuickTime, QuickTime, Audio] ©day - Year: 2006
[QuickTime, QuickTime, Audio] ©cmt - Comment: comments
[QuickTime, QuickTime, Audio] pgap - Play Gap: No Gap
[QuickTime, QuickTime, Audio] covr - Cover Art: (Binary data 19 bytes)
[QuickTime, QuickTime, Audio] covr - Cover Art: (Binary data 19 bytes)
