[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 7.18
[File, File, Image]  - File Name: Real.ra
[File, File, Image]  - Directory: t/images
[File, File, Image]  - File Size: 130 bytes
[File, File, Time]  - File Modification Date/Time: 2006:05:17 14:28:16
[File, File, Image]  - File Type: RA
[File, File, Image]  - MIME Type: audio/x-pn-realaudio
[Real, Real-RA4, Audio] 6 - Audio Bytes: 704352
[Real, Real-RA4, Audio] 7 - Bytes Per Minute: 299743
[Real, Real-RA4, Audio] 10 - Audio Frame Size: 348
[Real, Real-RA4, Audio] 13 - Sample Rate: 22050
[Real, Real-RA4, Audio] 15 - Bits Per Sample: 16
[Real, Real-RA4, Audio] 16 - Channels: 1
[Real, Real-RA4, Audio] 24 - Title: The Sewing Girls
[Real, Real-RA4, Author] 28 - Copyright: ** institut für universelle zusammenhänge
