[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 6.58
[File, File, Image]  - File Name: Vorbis.ogg
[File, File, Image]  - Directory: t/images
[File, File, Image]  - File Size: 5 kB
[File, File, Time]  - File Modification Date/Time: 2006:11:10 21:57:27
[File, File, Image]  - File Type: OGG
[File, File, Image]  - MIME Type: audio/x-ogg
[Vorbis, Vorbis, Audio] 0 - Vorbis Version: 0
[Vorbis, Vorbis, Audio] 4 - Audio Channels: 2
[Vorbis, Vorbis, Audio] 5 - Sample Rate: 22050
[Vorbis, Vorbis, Audio] 13 - Nominal Bitrate: 32000
[Vorbis, Vorbis, Audio] vendor - Vendor: AO; aoTuV b4b [20051117] (based on Xiph.Org's libVorbis)
[Vorbis, Vorbis, Audio] COVERARTMIME - Cover Art MIME Type: image/jpeg
[Vorbis, Vorbis, Audio] COVERART - Cover Art: (Binary data 1351 bytes)
[Vorbis, Vorbis, Audio] MEDIAJUKEBOX:TOOL NAME - Mediajukebox Tool Name: Media Center
[Vorbis, Vorbis, Audio] MEDIAJUKEBOX:TOOL VERSION - Mediajukebox Tool Version: 11.1.197
[Vorbis, Vorbis, Audio] GENRE - Genre: Funk
[Vorbis, Vorbis, Audio] MEDIAJUKEBOX:DATE - Mediajukebox Date: 38718
[Vorbis, Vorbis, Time] DATE - Date: 2006
[Vorbis, Vorbis, Audio] TITLE - Title: A 4s sample for testing embedded cover art
[Vorbis, Vorbis, Audio] TRACKNUMBER - Track Number: 1
[Vorbis, Vorbis, Audio] COMMENT - Comment: a nice comment
[Vorbis, Vorbis, Author] ARTIST - Artist: Who Knows
[Vorbis, Vorbis, Audio] ALBUM - Album: The Test Album
