[ExifTool, ExifTool, ExifTool]  - ExifTool Version Number: 7.37
[File, File, Image]  - File Name: Writer_19_failed.jpg
[File, File, Image]  - Directory: t
[File, File, Image]  - File Size: 553 bytes
[File, File, Time]  - File Modification Date/Time: 2008:07:15 12:11:33
[File, File, Image]  - File Type: JPEG
[File, File, Image]  - MIME Type: image/jpeg
[File, File, Image]  - Exif Byte Order: Little-endian (Intel, II)
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Author] 315 - Artist: Phil
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[EXIF, ExifIFD, Author] 315 - Artist: Harvey
[EXIF, ExifIFD, Image] 34855 - ISO: 25
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0220
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2006:03:27 16:25:00
[EXIF, ExifIFD, Image] 37121 - Components Configuration: YCbCr
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: Uncalibrated
[EXIF, ExifIFD, Camera] 41994 - Sharpness: Hard
[IPTC, IPTC, Other] 25 - Keywords: one, two
[IPTC, IPTC, Other] 0 - Application Record Version: 4
[Composite, Composite, Image]  - Image Size: 8x8
